technology,capacity_type,location,year,capacity
capture_amine,power,swiss_storage_CH,0,0.0
capture_amine,power,swiss_storage_CH,1,0.0
capture_amine,power,swiss_storage_CH,2,0.0
capture_amine,power,swiss_storage_CH,3,0.0
capture_amine,power,swiss_storage_CH,4,0.0
capture_amine,power,waste_1_CH,0,0.0
capture_amine,power,waste_1_CH,1,10.26730267302673
capture_amine,power,waste_1_CH,2,10.26730267302673
capture_amine,power,waste_1_CH,3,10.26730267302673
capture_amine,power,waste_1_CH,4,10.26730267302673
capture_amine,power,waste_2_CH,0,0.0
capture_amine,power,waste_2_CH,1,7.665450278093954
capture_amine,power,waste_2_CH,2,7.665450278093954
capture_amine,power,waste_2_CH,3,20.53460534605346
capture_amine,power,waste_2_CH,4,20.53460534605346
compression_16_110bar,power,swiss_storage_CH,0,0.0
compression_16_110bar,power,swiss_storage_CH,1,0.0
compression_16_110bar,power,swiss_storage_CH,2,0.0
compression_16_110bar,power,swiss_storage_CH,3,0.0
compression_16_110bar,power,swiss_storage_CH,4,0.0
compression_16_110bar,power,waste_1_CH,0,0.0
compression_16_110bar,power,waste_1_CH,1,0.0
compression_16_110bar,power,waste_1_CH,2,0.0
compression_16_110bar,power,waste_1_CH,3,0.0
compression_16_110bar,power,waste_1_CH,4,0.0
compression_16_110bar,power,waste_2_CH,0,0.0
compression_16_110bar,power,waste_2_CH,1,0.0
compression_16_110bar,power,waste_2_CH,2,0.0
compression_16_110bar,power,waste_2_CH,3,0.0
compression_16_110bar,power,waste_2_CH,4,0.0
condition_110bar,power,swiss_storage_CH,0,0.0
condition_110bar,power,swiss_storage_CH,1,0.0
condition_110bar,power,swiss_storage_CH,2,0.0
condition_110bar,power,swiss_storage_CH,3,0.0
condition_110bar,power,swiss_storage_CH,4,0.0
condition_110bar,power,waste_1_CH,0,0.0
condition_110bar,power,waste_1_CH,1,0.0
condition_110bar,power,waste_1_CH,2,0.0
condition_110bar,power,waste_1_CH,3,0.0
condition_110bar,power,waste_1_CH,4,0.0
condition_110bar,power,waste_2_CH,0,0.0
condition_110bar,power,waste_2_CH,1,0.0
condition_110bar,power,waste_2_CH,2,0.0
condition_110bar,power,waste_2_CH,3,0.0
condition_110bar,power,waste_2_CH,4,0.0
condition_16bar,power,swiss_storage_CH,0,0.0
condition_16bar,power,swiss_storage_CH,1,0.0
condition_16bar,power,swiss_storage_CH,2,0.0
condition_16bar,power,swiss_storage_CH,3,0.0
condition_16bar,power,swiss_storage_CH,4,0.0
condition_16bar,power,waste_1_CH,0,0.0
condition_16bar,power,waste_1_CH,1,10.227415751595506
condition_16bar,power,waste_1_CH,2,10.227415751595506
condition_16bar,power,waste_1_CH,3,10.227415751595506
condition_16bar,power,waste_1_CH,4,10.227415751595506
condition_16bar,power,waste_2_CH,0,0.0
condition_16bar,power,waste_2_CH,1,7.63567116056774
condition_16bar,power,waste_2_CH,2,7.63567116056774
condition_16bar,power,waste_2_CH,3,20.454831503191013
condition_16bar,power,waste_2_CH,4,20.454831503191013
decompression_110_16bar,power,swiss_storage_CH,0,0.0
decompression_110_16bar,power,swiss_storage_CH,1,0.0
decompression_110_16bar,power,swiss_storage_CH,2,0.0
decompression_110_16bar,power,swiss_storage_CH,3,0.0
decompression_110_16bar,power,swiss_storage_CH,4,0.0
decompression_110_16bar,power,waste_1_CH,0,0.0
decompression_110_16bar,power,waste_1_CH,1,0.0
decompression_110_16bar,power,waste_1_CH,2,0.0
decompression_110_16bar,power,waste_1_CH,3,0.0
decompression_110_16bar,power,waste_1_CH,4,0.0
decompression_110_16bar,power,waste_2_CH,0,0.0
decompression_110_16bar,power,waste_2_CH,1,0.0
decompression_110_16bar,power,waste_2_CH,2,0.0
decompression_110_16bar,power,waste_2_CH,3,0.0
decompression_110_16bar,power,waste_2_CH,4,0.0
decompression_110bar_ambient,power,swiss_storage_CH,0,0.0
decompression_110bar_ambient,power,swiss_storage_CH,1,0.0
decompression_110bar_ambient,power,swiss_storage_CH,2,0.0
decompression_110bar_ambient,power,swiss_storage_CH,3,0.0
decompression_110bar_ambient,power,swiss_storage_CH,4,0.0
decompression_110bar_ambient,power,waste_1_CH,0,0.0
decompression_110bar_ambient,power,waste_1_CH,1,0.0
decompression_110bar_ambient,power,waste_1_CH,2,0.0
decompression_110bar_ambient,power,waste_1_CH,3,0.0
decompression_110bar_ambient,power,waste_1_CH,4,0.0
decompression_110bar_ambient,power,waste_2_CH,0,0.0
decompression_110bar_ambient,power,waste_2_CH,1,0.0
decompression_110bar_ambient,power,waste_2_CH,2,0.0
decompression_110bar_ambient,power,waste_2_CH,3,0.0
decompression_110bar_ambient,power,waste_2_CH,4,0.0
emergency_storage,power,swiss_storage_CH,0,0.0
emergency_storage,power,swiss_storage_CH,1,0.0
emergency_storage,power,swiss_storage_CH,2,0.0
emergency_storage,power,swiss_storage_CH,3,0.0
emergency_storage,power,swiss_storage_CH,4,0.0
emergency_storage,power,waste_1_CH,0,0.0
emergency_storage,power,waste_1_CH,1,0.0
emergency_storage,power,waste_1_CH,2,0.0
emergency_storage,power,waste_1_CH,3,0.0
emergency_storage,power,waste_1_CH,4,0.0
emergency_storage,power,waste_2_CH,0,0.0
emergency_storage,power,waste_2_CH,1,0.0
emergency_storage,power,waste_2_CH,2,0.0
emergency_storage,power,waste_2_CH,3,0.6477124861684338
emergency_storage,power,waste_2_CH,4,0.6477124861684338
emitter_wte,power,swiss_storage_CH,0,0.0
emitter_wte,power,swiss_storage_CH,1,0.0
emitter_wte,power,swiss_storage_CH,2,0.0
emitter_wte,power,swiss_storage_CH,3,0.0
emitter_wte,power,swiss_storage_CH,4,0.0
emitter_wte,power,waste_1_CH,0,11.408
emitter_wte,power,waste_1_CH,1,11.408
emitter_wte,power,waste_1_CH,2,11.408
emitter_wte,power,waste_1_CH,3,11.408
emitter_wte,power,waste_1_CH,4,11.408
emitter_wte,power,waste_2_CH,0,22.816
emitter_wte,power,waste_2_CH,1,22.816
emitter_wte,power,waste_2_CH,2,22.816
emitter_wte,power,waste_2_CH,3,22.816
emitter_wte,power,waste_2_CH,4,22.816
heat_pump,power,swiss_storage_CH,0,0.0
heat_pump,power,swiss_storage_CH,1,0.0
heat_pump,power,swiss_storage_CH,2,0.0
heat_pump,power,swiss_storage_CH,3,0.0
heat_pump,power,swiss_storage_CH,4,0.0
heat_pump,power,waste_1_CH,0,0.0
heat_pump,power,waste_1_CH,1,8.27094887588876
heat_pump,power,waste_1_CH,2,8.27094887588876
heat_pump,power,waste_1_CH,3,8.27094887588876
heat_pump,power,waste_1_CH,4,8.27094887588876
heat_pump,power,waste_2_CH,0,0.0
heat_pump,power,waste_2_CH,1,6.174995456921922
heat_pump,power,waste_2_CH,2,6.174995456921922
heat_pump,power,waste_2_CH,3,16.54189775177752
heat_pump,power,waste_2_CH,4,16.54189775177752
permanent_storage,power,swiss_storage_CH,0,0.0
permanent_storage,power,swiss_storage_CH,1,17.862991648828796
permanent_storage,power,swiss_storage_CH,2,17.862991648828796
permanent_storage,power,swiss_storage_CH,3,30.03437459529837
permanent_storage,power,swiss_storage_CH,4,30.03437459529837
