technology,capacity_type,location,year,capacity
capture_amine,power,swiss_storage_CH,0,0.0
capture_amine,power,swiss_storage_CH,1,0.0
capture_amine,power,swiss_storage_CH,2,0.0
capture_amine,power,waste_1_CH,0,13.577313284792565
capture_amine,power,waste_1_CH,1,22.528264789892845
capture_amine,power,waste_1_CH,2,26.387583907839087
capture_amine,power,waste_2_CH,0,2.786938187332527e-05
capture_amine,power,waste_2_CH,1,4.624249298615913e-05
capture_amine,power,waste_2_CH,2,1.519764167947841
compression_16_110bar,power,swiss_storage_CH,0,0.0
compression_16_110bar,power,swiss_storage_CH,1,0.0
compression_16_110bar,power,swiss_storage_CH,2,0.0
compression_16_110bar,power,waste_1_CH,0,0.0
compression_16_110bar,power,waste_1_CH,1,0.0
compression_16_110bar,power,waste_1_CH,2,0.0
compression_16_110bar,power,waste_2_CH,0,0.0
compression_16_110bar,power,waste_2_CH,1,0.0
compression_16_110bar,power,waste_2_CH,2,0.0
condition_110bar,power,swiss_storage_CH,0,0.0
condition_110bar,power,swiss_storage_CH,1,0.0
condition_110bar,power,swiss_storage_CH,2,0.0
condition_110bar,power,waste_1_CH,0,0.0
condition_110bar,power,waste_1_CH,1,0.0
condition_110bar,power,waste_1_CH,2,0.0
condition_110bar,power,waste_2_CH,0,0.0
condition_110bar,power,waste_2_CH,1,0.0
condition_110bar,power,waste_2_CH,2,0.0
condition_16bar,power,swiss_storage_CH,0,0.0
condition_16bar,power,swiss_storage_CH,1,0.0
condition_16bar,power,swiss_storage_CH,2,0.0
condition_16bar,power,waste_1_CH,0,13.524567471653116
condition_16bar,power,waste_1_CH,1,22.44074588095711
condition_16bar,power,waste_1_CH,2,26.285072126545554
condition_16bar,power,waste_2_CH,0,2.77611135305561e-05
condition_16bar,power,waste_2_CH,1,4.606284787942936e-05
condition_16bar,power,waste_2_CH,2,1.5138601135051708
decompression_110_16bar,power,swiss_storage_CH,0,0.0
decompression_110_16bar,power,swiss_storage_CH,1,0.0
decompression_110_16bar,power,swiss_storage_CH,2,0.0
decompression_110_16bar,power,waste_1_CH,0,0.0
decompression_110_16bar,power,waste_1_CH,1,0.0
decompression_110_16bar,power,waste_1_CH,2,0.0
decompression_110_16bar,power,waste_2_CH,0,0.0
decompression_110_16bar,power,waste_2_CH,1,0.0
decompression_110_16bar,power,waste_2_CH,2,0.0
decompression_110bar_ambient,power,swiss_storage_CH,0,0.0
decompression_110bar_ambient,power,swiss_storage_CH,1,0.0
decompression_110bar_ambient,power,swiss_storage_CH,2,0.0
decompression_110bar_ambient,power,waste_1_CH,0,0.0
decompression_110bar_ambient,power,waste_1_CH,1,0.0
decompression_110bar_ambient,power,waste_1_CH,2,0.0
decompression_110bar_ambient,power,waste_2_CH,0,0.0
decompression_110bar_ambient,power,waste_2_CH,1,0.0
decompression_110bar_ambient,power,waste_2_CH,2,0.0
emergency_storage,power,swiss_storage_CH,0,0.0
emergency_storage,power,swiss_storage_CH,1,0.0
emergency_storage,power,swiss_storage_CH,2,0.0
emergency_storage,power,waste_1_CH,0,0.0
emergency_storage,power,waste_1_CH,1,0.0
emergency_storage,power,waste_1_CH,2,0.0
emergency_storage,power,waste_2_CH,0,0.0
emergency_storage,power,waste_2_CH,1,0.0
emergency_storage,power,waste_2_CH,2,0.0
emitter_wte,power,swiss_storage_CH,0,0.0
emitter_wte,power,swiss_storage_CH,1,0.0
emitter_wte,power,swiss_storage_CH,2,0.0
emitter_wte,power,waste_1_CH,0,29.319244480000002
emitter_wte,power,waste_1_CH,1,29.31924448
emitter_wte,power,waste_1_CH,2,29.31924448
emitter_wte,power,waste_2_CH,0,21.5189104
emitter_wte,power,waste_2_CH,1,21.5189104
emitter_wte,power,waste_2_CH,2,21.5189104
heat_pump,power,swiss_storage_CH,0,0.0
heat_pump,power,swiss_storage_CH,1,0.0
heat_pump,power,swiss_storage_CH,2,0.0
heat_pump,power,waste_1_CH,0,10.937367644324066
heat_pump,power,waste_1_CH,1,18.14791404067566
heat_pump,power,waste_1_CH,2,21.256834867966667
heat_pump,power,waste_2_CH,0,2.245051500063965e-05
heat_pump,power,waste_2_CH,1,3.725119513491632e-05
heat_pump,power,waste_2_CH,2,1.2242642626603988
permanent_storage,power,swiss_storage_CH,0,13.52452310648492
permanent_storage,power,swiss_storage_CH,1,22.440672267699785
permanent_storage,power,swiss_storage_CH,2,27.798783989135707
permanent_storage,power,waste_1_CH,0,0.0
permanent_storage,power,waste_1_CH,1,0.0
permanent_storage,power,waste_1_CH,2,0.0
permanent_storage,power,waste_2_CH,0,0.0
permanent_storage,power,waste_2_CH,1,0.0
permanent_storage,power,waste_2_CH,2,0.0
truck_batch,power,waste_1_CH-swiss_storage_CH,0,13.524595232766648
truck_batch,power,waste_1_CH-swiss_storage_CH,1,22.44079194380499
truck_batch,power,waste_1_CH-swiss_storage_CH,2,26.28568526769648
truck_batch,power,waste_1_CH-waste_2_CH,0,0.0027481512426508203
truck_batch,power,waste_1_CH-waste_2_CH,1,0.0045598917531357586
truck_batch,power,waste_1_CH-waste_2_CH,2,0.00534104722972728
truck_batch,power,waste_2_CH-swiss_storage_CH,0,0.0027759123561814647
truck_batch,power,waste_2_CH-swiss_storage_CH,1,0.004605954601014872
truck_batch,power,waste_2_CH-swiss_storage_CH,2,1.5192011607348945
truck_batch,power,waste_2_CH-waste_1_CH,0,2.7761113530555932e-05
truck_batch,power,waste_2_CH-waste_1_CH,1,4.606284787942947e-05
truck_batch,power,waste_2_CH-waste_1_CH,2,0.000613141150925589
