technology,carrier,node,time_operation,flow_conversion_input
capture_amine,flue_gas,swiss_storage_CH,0,0.0
capture_amine,flue_gas,swiss_storage_CH,1,0.0
capture_amine,flue_gas,swiss_storage_CH,2,0.0
capture_amine,flue_gas,swiss_storage_CH,3,0.0
capture_amine,flue_gas,swiss_storage_CH,4,0.0
capture_amine,flue_gas,waste_1_CH,0,0.0
capture_amine,flue_gas,waste_1_CH,1,11.408
capture_amine,flue_gas,waste_1_CH,2,11.408
capture_amine,flue_gas,waste_1_CH,3,11.408
capture_amine,flue_gas,waste_1_CH,4,11.408
capture_amine,flue_gas,waste_2_CH,0,0.0
capture_amine,flue_gas,waste_2_CH,1,8.339088565536626
capture_amine,flue_gas,waste_2_CH,2,8.339088565536628
capture_amine,flue_gas,waste_2_CH,3,22.69810505349544
capture_amine,flue_gas,waste_2_CH,4,22.69810505349544
capture_amine,heat,swiss_storage_CH,0,0.0
capture_amine,heat,swiss_storage_CH,1,0.0
capture_amine,heat,swiss_storage_CH,2,0.0
capture_amine,heat,swiss_storage_CH,3,0.0
capture_amine,heat,swiss_storage_CH,4,0.0
capture_amine,heat,waste_1_CH,0,0.0
capture_amine,heat,waste_1_CH,1,8.27094887588876
capture_amine,heat,waste_1_CH,2,8.27094887588876
capture_amine,heat,waste_1_CH,3,8.27094887588876
capture_amine,heat,waste_1_CH,4,8.27094887588876
capture_amine,heat,waste_2_CH,0,0.0
capture_amine,heat,waste_2_CH,1,6.045948036208096
capture_amine,heat,waste_2_CH,2,6.045948036208098
capture_amine,heat,waste_2_CH,3,16.456422377017276
capture_amine,heat,waste_2_CH,4,16.456422377017276
capture_amine,electricity,swiss_storage_CH,0,0.0
capture_amine,electricity,swiss_storage_CH,1,0.0
capture_amine,electricity,swiss_storage_CH,2,0.0
capture_amine,electricity,swiss_storage_CH,3,0.0
capture_amine,electricity,swiss_storage_CH,4,0.0
capture_amine,electricity,waste_1_CH,0,0.0
capture_amine,electricity,waste_1_CH,1,0.1044718581585816
capture_amine,electricity,waste_1_CH,2,0.1044718581585816
capture_amine,electricity,waste_1_CH,3,0.1044718581585816
capture_amine,electricity,waste_1_CH,4,0.1044718581585816
capture_amine,electricity,waste_2_CH,0,0.0
capture_amine,electricity,waste_2_CH,1,0.07636746824952595
capture_amine,electricity,waste_2_CH,2,0.07636746824952596
capture_amine,electricity,waste_2_CH,3,0.2078640613269074
capture_amine,electricity,waste_2_CH,4,0.2078640613269074
compression_16_110bar,electricity,swiss_storage_CH,0,0.0
compression_16_110bar,electricity,swiss_storage_CH,1,0.0
compression_16_110bar,electricity,swiss_storage_CH,2,0.0
compression_16_110bar,electricity,swiss_storage_CH,3,0.0
compression_16_110bar,electricity,swiss_storage_CH,4,0.0
compression_16_110bar,electricity,waste_1_CH,0,0.0
compression_16_110bar,electricity,waste_1_CH,1,0.0
compression_16_110bar,electricity,waste_1_CH,2,0.0
compression_16_110bar,electricity,waste_1_CH,3,0.0
compression_16_110bar,electricity,waste_1_CH,4,0.0
compression_16_110bar,electricity,waste_2_CH,0,0.0
compression_16_110bar,electricity,waste_2_CH,1,0.0
compression_16_110bar,electricity,waste_2_CH,2,0.0
compression_16_110bar,electricity,waste_2_CH,3,0.0
compression_16_110bar,electricity,waste_2_CH,4,0.0
compression_16_110bar,co2_liquid_16bar,swiss_storage_CH,0,0.0
